NA	DEV-100001	10	10	neutral	Won the match #getin . Plus\u002c tomorrow is a very busy day\u002c with Awareness Day\u2019s and debates. Gulp. Debates...
NA	DEV-100002	17	17	negative	Won the match #getin . Plus\u002c tomorrow is a very busy day\u002c with Awareness Day\u2019s and debates. Gulp. Debates...
NA	DEV-100003	1	3	negative	@francesco_con40 2nd worst QB. DEFINITELY Tony Romo. The man who likes to share the ball with everyone. Including the other team.
NA	DEV-100004	17	20	negative	@francesco_con40 2nd worst QB. DEFINITELY Tony Romo. The man who likes to share the ball with everyone. Including the other team.
NA	DEV-100005	9	10	positive	@mariakaykay aga tayo tomorrow ah. :) Good night\u002c Ces. Love you! >:D<
NA	DEV-100006	9	13	positive	Lunch from my new Lil spot ...THE COTTON BOWL ....pretty good#1st#time#will be going back# http://t.co/Dbbj8xLZ
NA	DEV-100007	3	3	positive	SNC Halloween Pr. Pumped. Let\u2019s work it for Sunday....Packers vs....who knows or caresn. #SNC #cheerpracticeonhalloween
NA	DEV-100008	15	16	neutral	@_Nenaah oh cause my friend got something from china and they said it will take at least 6 to 8 weeks and it came in the 2nd week :P
NA	DEV-100009	1	3	positive	I love the banner that was unfurled in the United end last night. It read: \"Chelsea - Standing up against racism since Sunday\"
NA	DEV-100010	3	5	negative	#Repost Chris Bosh may be ugly. But he has a gorgeous wife and adorbs baby. I want to be happy like them one http://t.co/S6moxr1U
NA	DEV-100011	10	14	positive	#Repost Chris Bosh may be ugly. But he has a gorgeous wife and adorbs baby. I want to be happy like them one http://t.co/S6moxr1U
NA	DEV-100012	16	21	positive	#Repost Chris Bosh may be ugly. But he has a gorgeous wife and adorbs baby. I want to be happy like them one http://t.co/S6moxr1U
NA	DEV-100013	6	6	negative	@prodnose is this one of your little jokes like Elvis playing at the Marquee  next Tuesday?
NA	DEV-100014	1	2	negative	Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday\u002c with investors waiting for... http://t.co/CiqFona1
NA	DEV-100015	12	13	negative	Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday\u002c with investors waiting for... http://t.co/CiqFona1
NA	DEV-100016	8	9	positive	Lana Del Rey at Hammersmith Apollo in May... Very badly want tickets
NA	DEV-100017	12	12	positive	Shaw wouldn\u2019t let Luck throw late in the FIesta Bowl\u002c but he\u2019s fine with Nunes throwing a fade route on 4th and 4 w/ 1:50 left.
NA	DEV-100018	13	14	negative	Monday before I leave Singapore\u002c I am going to post something that might be offensive.
NA	DEV-100019	11	15	neutral	ABC has @jaketapper \u002c and the Country Music Awards\u002c they may still have a little credibility come Wednesday. #tcot
NA	DEV-100020	1	3	neutral	I have a feeling the stage is going to be covered in santorum when Paul Ryan gets done with Biden tomorrow.
NA	DEV-100021	16	17	negative	I have a feeling the stage is going to be covered in santorum when Paul Ryan gets done with Biden tomorrow.
NA	DEV-100022	20	20	positive	Here in the Philippines\u002c Its November 2 and I was like where\u2019s my phone?! What is the time in LONDON?! #Excited #LittleThngs @NiallOfficial
NA	DEV-100023	16	17	neutral	@thaalitaa410 won\u2019t get emojis till tomorrow beeeotch! when is your grandma going back to brazil? i wanna see your fam before they leave!
NA	DEV-100024	0	0	negative	\u2019Love-cheat\u2019 Daniel Radcliffe splits with girlfriend Rosie Coker: London\u002c Oct 19: Daniel Radcliffe has split wit... http://t.co/ZVlsK2HQ
NA	DEV-100025	3	3	negative	\u2019Love-cheat\u2019 Daniel Radcliffe splits with girlfriend Rosie Coker: London\u002c Oct 19: Daniel Radcliffe has split wit... http://t.co/ZVlsK2HQ
NA	DEV-100026	3	5	positive	@solz_b He\u2019s a true Niners fan\u002c he brought it up in a interview during his 2nd season. :D
NA	DEV-100027	14	16	positive	@KevOrf_5 Yeah I think so. We saw Suarez score up near us and we played pretty well 2nd half so it wasn\u2019t so bad. Probably should\u2019ve had ET
NA	DEV-100028	21	23	positive	@KevOrf_5 Yeah I think so. We saw Suarez score up near us and we played pretty well 2nd half so it wasn\u2019t so bad. Probably should\u2019ve had ET
NA	DEV-100029	0	5	positive	Pretty Little Liars was the shit ! I can\u2019t wait til tomorrow ! I wanna see who all innocent & who got something to do with Allison dying !
NA	DEV-100030	8	9	positive	Pretty Little Liars was the shit ! I can\u2019t wait til tomorrow ! I wanna see who all innocent & who got something to do with Allison dying !
NA	DEV-100031	14	15	positive	Pretty Little Liars was the shit ! I can\u2019t wait til tomorrow ! I wanna see who all innocent & who got something to do with Allison dying !
NA	DEV-100032	0	0	positive	GREAT GAME GIRLS!! On to districts Monday at Fox!! Thanks to the fans for coming out :)
NA	DEV-100033	9	12	positive	GREAT GAME GIRLS!! On to districts Monday at Fox!! Thanks to the fans for coming out :)
NA	DEV-100034	3	5	negative	Jesiah of course can\u2019t fall asleep. So since he\u2019s off school tomorrow\u002c he\u2019s cuddled up with mama watching Wizards of Waverly Place<3
NA	DEV-100035	4	4	positive	#7FactsAboutMyBestFriend 17\u002c plays softball\u002c loves the Lakers\u002c she\u2019s a LA girl\u002c Junior\u002c Birthday September\u002c 15th & she loves her black boys!
NA	DEV-100036	17	17	positive	#7FactsAboutMyBestFriend 17\u002c plays softball\u002c loves the Lakers\u002c she\u2019s a LA girl\u002c Junior\u002c Birthday September\u002c 15th & she loves her black boys!
NA	DEV-100037	2	2	positive	I really wanna go to the MLK vs. Tucker game tomorrow
NA	DEV-100038	12	12	positive	waking up to a Niners win\u002c makes Tuesday get off to a great start! 21-3 over the cards and 2 games clear in the NFC West.
NA	DEV-100039	1	1	negative	@Duffy_Louise Nooooooo this Sunday is the last episode of Downton Abbey. :( There\u2019s a Christmas special coming but that\u2019s AGES away.
NA	DEV-100040	6	6	negative	@Duffy_Louise Nooooooo this Sunday is the last episode of Downton Abbey. :( There\u2019s a Christmas special coming but that\u2019s AGES away.
NA	DEV-100041	11	11	negative	@Duffy_Louise Nooooooo this Sunday is the last episode of Downton Abbey. :( There\u2019s a Christmas special coming but that\u2019s AGES away.
NA	DEV-100042	18	20	negative	@Duffy_Louise Nooooooo this Sunday is the last episode of Downton Abbey. :( There\u2019s a Christmas special coming but that\u2019s AGES away.
NA	DEV-100043	2	3	positive	@justinbieber im so excited even though i wont see you til novemeber 5th. oiershdjkfwle GOOD LUCK TONIGHT\u002c KIDRAUHL!
NA	DEV-100044	14	15	positive	@justinbieber im so excited even though i wont see you til novemeber 5th. oiershdjkfwle GOOD LUCK TONIGHT\u002c KIDRAUHL!
NA	DEV-100045	3	3	negative	I believe the snobish mainstream media\u002c ABC\u002c CBS\u002cNBC\u002c CNN\u002c MSNBC may get their comeupance this election. People r sick of their bias!
NA	DEV-100046	16	21	negative	I believe the snobish mainstream media\u002c ABC\u002c CBS\u002cNBC\u002c CNN\u002c MSNBC may get their comeupance this election. People r sick of their bias!
NA	DEV-100047	2	3	negative	Well if no ones going to school tomorrow then I guess I won\u2019t go :p
NA	DEV-100048	12	13	negative	Well if no ones going to school tomorrow then I guess I won\u2019t go :p
NA	DEV-100049	2	2	positive	Tom Brady wins AFC offensive player of the week for 22nd time http://t.co/gwjLE1k8 (via @ProFootballTalk)
NA	DEV-100050	10	11	positive	Tom Brady wins AFC offensive player of the week for 22nd time http://t.co/gwjLE1k8 (via @ProFootballTalk)
NA	DEV-100051	2	5	negative	@JoshNorris @Rotoworld_Draft I\u2019d be pretty mad if the Packers took Bernard in the 1st just bc\u002c Cooper/Eifert would be better IMO.
NA	DEV-100052	19	19	positive	@JoshNorris @Rotoworld_Draft I\u2019d be pretty mad if the Packers took Bernard in the 1st just bc\u002c Cooper/Eifert would be better IMO.
NA	DEV-100053	0	1	positive	Very amaZAYN voice to the 1st verse man ZAYN MALIK! @zaynmalik xx
NA	DEV-100054	0	0	positive	Free to Watch!!! Justified: \"Justified\" follows Marshal Raylan Givens\u002c a modern day 19th century-style lawman\u002c w... http://t.co/Lep5fnF1
NA	DEV-100055	2	2	positive	@_BigDaddyDouley Come SUPPORT the SHOW/MOVEMENT at Park dale High School on Oct 26th from 8-11 w/ AJA\u002c DREAMTEAM\u002c HQB\u002c DSB & HIB
